,time,target,response,frequency
0,2.44287109375,2,2,1000
1,5.95263671875,2,2,1000
2,7.5224609375,1,1,1000
3,11.22216796875,1,1,1000
4,14.09228515625,2,2,1000
5,15.64208984375,1,1,1000
6,17.8720703125,1,1,1000
7,20.62158203125,2,2,1000
8,22.3515625,1,1,1000
9,24.44140625,1,1,1000
10,26.54150390625,1,1,1200
11,28.9013671875,1,1,1000
12,31.021484375,1,1,1000
13,33.701171875,2,2,1000
14,35.201171875,1,1,1000
15,37.32080078125,1,1,1000
16,39.62109375,1,1,1000
17,41.7509765625,1,1,1000
18,45.0205078125,2,1,1200
19,47.37060546875,1,1,1000
20,50.12060546875,2,2,1000
21,51.81005859375,1,2,1000
22,55.1201171875,1,1,1200
23,57.94970703125,2,1,1200
24,60.3896484375,2,1,1200
25,62.349609375,1,1,1000
26,64.48974609375,1,2,1200
27,67.03955078125,1,1,1000
28,69.7392578125,2,2,1000
29,72.0390625,2,2,1200
30,75.119140625,2,2,1000
31,77.369140625,2,2,1000
32,79.548828125,2,1,1200
33,81.5390625,1,1,1000
34,84.23876953125,2,2,1000
35,85.64892578125,1,2,1000
36,88.0986328125,1,1,1000
37,90.6982421875,2,1,1000
38,92.8984375,2,2,1000
39,95.1982421875,2,1,1000
40,97.51806640625,2,1,1000
41,99.6181640625,2,2,1000
42,101.36767578125,1,1,1200
43,104.017578125,1,2,1200
44,106.7177734375,2,2,1000
45,111.1171875,1,2,1200
46,113.697265625,1,1,1200
47,117.29736328125,1,1,1000
48,119.9970703125,2,2,1000
0,125.396484375,2,2,1000
1,127.7666015625,2,2,1000
2,130.51611328125,2,2,1000
3,132.69580078125,2,2,1200
4,135.1162109375,2,2,1000
5,137.19580078125,2,2,1200
6,143.015625,1,1,1000
7,145.515625,2,2,1000
8,147.49560546875,2,2,1000
9,149.4453125,2,2,1000
10,150.81494140625,1,1,1200
11,158.46484375,2,2,1000
12,159.8447265625,1,1,1000
13,168.29443359375,2,2,1000
14,169.744140625,1,1,1200
15,173.46435546875,2,1,1200
16,176.68408203125,2,1,1200
17,179.083984375,2,1,1200
18,181.36376953125,2,1,1000
19,184.19384765625,1,1,1000
20,186.9833984375,2,1,1000
21,191.59326171875,2,2,1200
22,195.29296875,2,2,1000
23,196.81298828125,1,1,1000
24,198.9130859375,1,1,1000
25,201.5126953125,2,2,1000
26,203.73291015625,2,2,1000
27,205.24267578125,1,1,1000
28,207.79248046875,1,1,1000
29,209.83251953125,1,1,1000
30,211.912109375,1,1,1000
31,214.0322265625,1,1,1000
32,216.58203125,2,2,1000
33,218.9619140625,2,2,1000
34,221.1318359375,2,2,1200
35,223.841796875,1,1,1000
36,226.3916015625,2,2,1000
37,230.13134765625,2,2,1000
38,231.69140625,1,1,1000
39,234.21142578125,2,2,1000
40,236.291015625,2,2,1000
41,238.44091796875,2,2,1000
42,240.43115234375,2,2,1000
43,242.58056640625,2,2,1200
44,244.810546875,2,1,1200
45,246.36083984375,1,1,1000
46,248.38037109375,1,1,1000
47,250.4404296875,1,1,1000
48,254.66015625,2,1,1200
0,262.330078125,2,2,1000
1,263.7900390625,1,1,1000
2,268.03955078125,2,2,1000
3,270.12939453125,2,2,1200
4,272.20947265625,1,2,1200
5,276.359375,2,2,1000
6,278.5791015625,2,2,1000
7,279.92919921875,1,2,1000
8,282.87890625,2,2,1000
9,284.2587890625,1,2,1000
10,286.978515625,1,2,1200
11,291.45849609375,2,2,1200
12,295.7080078125,1,1,1000
13,298.22802734375,2,2,1000
14,300.6279296875,2,2,1000
15,302.65771484375,2,1,1000
16,304.5576171875,1,1,1000
17,307.03759765625,2,2,1000
18,308.62744140625,1,1,1000
19,310.53759765625,1,1,1000
20,313.17724609375,2,1,1000
21,316.4072265625,1,2,1200
22,319.75732421875,2,1,1000
23,323.53662109375,2,1,1200
24,325.6767578125,1,1,1000
25,327.6767578125,1,2,1000
26,330.9267578125,1,2,1000
27,334.20654296875,1,1,1000
28,338.2763671875,1,1,1000
29,340.50634765625,1,1,1000
30,343.1357421875,2,2,1000
31,345.3759765625,2,2,1000
32,346.95556640625,1,2,1200
33,349.98583984375,2,2,1000
34,354.28515625,1,2,1200
35,356.75537109375,1,2,1000
36,361.705078125,2,2,1000
37,363.8349609375,2,2,1000
38,365.40478515625,1,1,1000
39,368.15478515625,2,2,1000
40,372.474609375,2,2,1000
41,375.904296875,2,2,1000
42,378.07421875,2,2,1200
43,380.72412109375,1,1,1000
44,382.68408203125,1,1,1000
45,384.9736328125,1,1,1200
46,387.4736328125,1,1,1000
47,390.2236328125,2,2,1200
48,393.30322265625,1,2,1200
0,399.02294921875,1,2,1000
1,403.42236328125,1,1,1000
2,405.5224609375,1,1,1200
3,408.6220703125,2,2,1000
4,410.7822265625,2,2,1000
5,412.85205078125,2,2,1000
6,414.52197265625,1,2,1200
7,417.40185546875,2,2,1000
