,onset_time,sound_frequency,target_interval,response
0,141.102890625,1000,2,2
1,143.161484375,1200,2,2
2,147.626328125,1000,2,2
3,149.595078125,1000,2,2
4,151.942734375,1000,2,2
5,153.90953125,1000,2,2
6,155.630234375,1000,1,1
7,158.10875,1200,2,1
8,160.92515625,1200,2,1
9,163.196640625,1000,2,2
10,165.17515625,1000,2,2
11,167.298203125,1000,1,1
12,169.399765625,1000,1,1
13,171.58140625,1200,1,1
14,173.731796875,1000,1,1
15,176.407578125,1200,2,1
16,178.76109375,1000,2,2
17,180.907578125,1200,2,2
18,183.280625,1200,1,1
19,186.872421875,1000,2,2
20,188.999375,1000,1,2
21,191.6790625,1000,1,1
22,194.5853125,1000,1,2
23,197.3275,1000,2,2
24,199.39,1000,2,2
25,201.1321875,1000,1,1
26,203.614609375,1200,1,2
27,207.3821875,1000,1,1
28,209.69859375,1000,1,1
29,213.755234375,1000,2,2
30,215.77671875,1000,1,2
31,218.9759375,1200,2,2
32,221.188828125,1000,2,2
33,223.372421875,1000,2,2
34,226.040390625,1000,2,2
35,227.96421875,1200,1,1
36,230.181015625,1000,1,1
37,232.427109375,1000,1,1
38,235.3353125,1000,1,1
39,237.36265625,1000,1,1
40,240.505234375,1200,2,1
41,243.239609375,1000,2,2
42,246.87046875,1000,2,2
43,249.13609375,1000,2,2
44,251.2884375,1000,2,1
45,256.82359375,1000,2,2
46,258.888046875,1200,2,2
47,260.561875,1000,1,2
48,264.26890625,1000,2,2
49,266.763046875,1000,1,2
50,280.7884375,1000,1,1
51,283.48765625,1000,2,1
52,286.341171875,1200,2,2
53,288.911484375,1200,1,2
54,291.727890625,1000,1,1
55,294.3196875,1000,2,2
56,296.692734375,1000,2,2
57,298.83921875,1200,2,2
58,300.5775,1000,1,1
59,302.708359375,1000,1,1
60,305.024765625,1000,1,1
61,307.602890625,1000,2,2
62,309.255234375,1200,1,1
63,311.8196875,1000,2,2
64,313.247421875,1000,1,1
65,315.936875,1000,2,2
66,319.653671875,1200,2,2
67,321.290390625,1000,1,1
68,323.524765625,1000,1,1
69,325.727890625,1200,1,2
70,329.9525,1000,2,1
71,332.450546875,1000,2,2
72,334.684921875,1000,2,2
73,336.688828125,1200,2,2
74,339.794296875,1000,1,2
75,342.356796875,1000,1,1
76,344.407578125,1000,1,1
77,347.16734375,1000,2,2
78,349.251328125,1000,2,2
79,350.708359375,1000,1,1
80,352.692734375,1000,1,1
81,355.1009375,1200,2,1
82,358.1009375,1000,2,2
83,360.266953125,1000,2,1
